50
120	100	160
10	12	15	12
11	12	15	12
12	12	15	12
13	12	15	12
14	12	15	12
15	12	15	12
16	12	15	12
17	12	15	12
18	12	15	12
19	12	15	12
20	12	19	16
21	12	19	16
22	12	19	16
23	12	19	16
24	12	19	16
25	12	19	16
26	12	19	16
27	12	19	16
28	12	19	16
29	12	19	16
30	15	30	20
31	15	30	20
32	15	30	20
33	15	30	20
34	15	30	20
35	15	30	20
36	15	30	20
37	15	30	20
38	15	30	20
39	15	30	20
40	25	40	30
41	25	40	30
42	25	40	30
43	25	40	30
44	25	40	30
45	25	40	30
46	25	40	30
47	25	40	30
48	25	40	30
49	25	40	30
50	30	50	40
51	30	50	40
52	30	50	40
53	30	50	40
54	30	50	40
55	30	50	40
56	30	50	40
57	30	50	40
58	30	50	40
59	30	50	40
31	48	16	6	13	24	8	3	4	28	29	14	0	7	5	43	41	33	49	20	2	17	22	1	35	44	19	10	30	45	12	21	47	38	23	42	25	40	27	39	36	32	26	34	37	15	46	9	18	11
