50
120	100	160
0	12	15	12
1	12	15	12
2	12	15	12
3	12	15	12
4	12	15	12
5	12	15	12
6	12	15	12
7	12	15	12
8	12	15	12
9	12	15	12
10	12	19	16
11	12	19	16
12	12	19	16
13	12	19	16
14	12	19	16
15	12	19	16
16	12	19	16
17	12	19	16
18	12	19	16
19	12	19	16
20	15	30	20
21	15	30	20
22	15	30	20
23	15	30	20
24	15	30	20
25	15	30	20
26	15	30	20
27	15	30	20
28	15	30	20
29	15	30	20
30	25	40	30
31	25	40	30
32	25	40	30
33	25	40	30
34	25	40	30
35	25	40	30
36	25	40	30
37	25	40	30
38	25	40	30
39	25	40	30
40	30	50	40
41	30	50	40
42	30	50	40
43	30	50	40
44	30	50	40
45	30	50	40
46	30	50	40
47	30	50	40
48	30	50	40
49	30	50	40
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
