80
100 100 100
0 18 16 15
1 25 26 17
2 11 30 29
3 4 32 23
4 27 35 12
5 19 26 10
6 2 8 22
7 27 4 28
8 2 25 2
9 8 1 25
10 34 2 19
11 15 27 25
12 21 21 26
13 14 12 33
14 30 12 18
15 29 5 5
16 29 23 24
17 29 14 4
18 26 3 15
19 30 2 7
20 21 12 11
21 3 15 28
22 21 28 12
23 13 6 1
24 35 21 4
25 34 12 30
26 2 15 33
27 31 14 8
28 35 21 20
29 27 20 2
30 7 24 8
31 24 17 31
32 8 9 33
33 31 10 32
34 34 18 29
35 3 13 10
36 1 9 12
37 31 14 34
38 4 20 34
39 20 7 13
40 6 23 18
41 11 18 11
42 2 18 13
43 23 21 16
44 35 13 16
45 33 25 31
46 1 21 6
47 2 32 1
48 2 29 2
49 32 21 17
50 12 26 8
51 26 32 16
52 24 4 14
53 34 15 24
54 8 32 9
55 26 31 23
56 33 31 28
57 14 9 16
58 21 27 8
59 6 5 7
60 25 33 32
61 31 27 2
62 29 18 8
63 12 14 11
64 15 28 33
65 18 4 2
66 19 1 22
67 32 10 7
68 7 18 15
69 11 13 33
70 6 5 32
71 9 16 6
72 24 31 8
73 31 17 21
74 2 15 18
75 20 10 32
76 24 6 27
77 21 14 26
78 20 15 26
79 24 22 34
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
