40
100 100 100
0 18 25 16
1 29 35 23
2 29 17 17
3 26 32 20
4 5 16 14
5 19 33 20
6 33 23 25
7 21 22 27
8 13 24 33
9 5 5 9
10 26 12 23
11 7 30 21
12 14 28 27
13 13 30 11
14 12 32 20
15 17 35 21
16 20 10 12
17 6 22 25
18 13 7 27
19 5 15 4
20 18 11 25
21 11 35 1
22 12 5 30
23 27 26 7
24 34 23 2
25 29 13 19
26 24 4 10
27 25 9 31
28 25 16 22
29 32 21 19
30 24 12 2
31 7 13 20
32 16 9 9
33 14 26 4
34 30 35 10
35 9 26 15
36 5 16 30
37 26 5 14
38 21 11 13
39 30 29 5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
