80
100 100 100
0 45 36 66
1 95 17 97
2 54 73 64
3 20 2 66
4 48 94 89
5 12 12 57
6 45 93 66
7 6 30 35
8 96 62 70
9 73 21 20
10 56 97 88
11 48 56 80
12 76 26 90
13 12 85 24
14 14 64 19
15 25 16 4
16 3 59 1
17 44 60 67
18 61 56 92
19 26 74 11
20 31 71 50
21 64 26 47
22 74 68 12
23 73 75 62
24 81 12 75
25 53 34 64
26 59 29 47
27 7 9 66
28 83 10 69
29 31 27 54
30 97 38 19
31 95 30 22
32 42 82 24
33 40 20 25
34 71 30 19
35 41 53 51
36 30 22 47
37 61 93 84
38 22 18 1
39 39 91 15
40 69 89 52
41 35 53 9
42 11 88 100
43 22 36 36
44 63 6 40
45 76 1 3
46 55 96 51
47 76 25 1
48 5 63 85
49 94 5 32
50 32 50 79
51 3 98 73
52 59 48 78
53 74 73 57
54 66 87 67
55 100 94 92
56 54 79 40
57 44 68 5
58 45 91 14
59 98 44 18
60 55 63 40
61 62 40 24
62 76 89 53
63 67 50 52
64 9 12 26
65 26 45 19
66 64 3 71
67 17 100 57
68 94 52 10
69 46 96 72
70 17 46 98
71 94 60 22
72 25 14 8
73 87 31 20
74 82 89 8
75 4 36 51
76 14 64 16
77 60 7 7
78 71 15 9
79 90 62 96
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
