60
100 100 100
0 22 27 3
1 19 22 31
2 20 30 30
3 17 23 3
4 10 27 4
5 10 3 15
6 22 7 25
7 28 10 7
8 15 27 13
9 27 3 33
10 3 17 5
11 2 24 6
12 8 17 9
13 30 1 10
14 26 22 20
15 30 20 15
16 26 19 29
17 14 14 34
18 5 31 7
19 31 26 27
20 24 15 3
21 19 14 23
22 18 35 28
23 1 6 16
24 17 28 3
25 7 28 25
26 14 31 9
27 23 3 31
28 3 18 33
29 35 8 8
30 34 20 12
31 20 34 9
32 13 25 3
33 5 22 19
34 20 16 32
35 5 8 5
36 28 7 13
37 30 35 6
38 30 7 25
39 3 8 24
40 1 21 8
41 8 19 21
42 4 26 30
43 4 32 26
44 12 16 17
45 31 1 8
46 11 17 17
47 26 10 24
48 24 34 32
49 6 20 20
50 10 2 33
51 25 3 32
52 22 15 34
53 4 19 15
54 34 16 10
55 22 19 10
56 32 20 8
57 19 29 25
58 5 31 16
59 24 31 25
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
