40
100 100 100
0 24 32 19
1 13 19 3
2 4 31 35
3 8 13 13
4 22 2 14
5 27 1 1
6 20 34 18
7 27 9 1
8 2 22 30
9 33 2 12
10 12 18 28
11 1 35 26
12 21 17 28
13 26 26 20
14 23 31 24
15 35 33 33
16 19 28 14
17 16 24 2
18 16 32 5
19 35 16 7
20 20 22 14
21 22 14 9
22 27 32 19
23 24 18 18
24 4 5 9
25 10 16 7
26 23 1 25
27 6 35 20
28 33 19 4
29 17 34 25
30 6 16 34
31 33 21 8
32 9 5 3
33 31 11 7
34 29 32 3
35 2 13 18
36 5 23 6
37 21 3 3
38 25 6 4
39 32 22 34
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
