80
30 30 30
0 6 5 10
1 7 1 4
2 10 4 1
3 8 4 1
4 8 1 7
5 10 5 7
6 3 10 2
7 6 3 7
8 2 5 4
9 6 2 4
10 9 7 10
11 1 3 3
12 8 1 1
13 2 7 3
14 7 2 1
15 3 1 4
16 2 10 9
17 4 3 9
18 6 1 6
19 7 6 1
20 4 7 5
21 4 5 7
22 10 5 1
23 4 4 2
24 8 7 6
25 9 4 10
26 10 2 1
27 10 4 4
28 9 8 7
29 6 7 8
30 5 7 2
31 1 10 2
32 9 10 5
33 8 9 8
34 4 6 4
35 6 8 3
36 1 3 10
37 3 1 6
38 3 8 1
39 10 5 5
40 8 1 10
41 6 6 7
42 9 6 6
43 8 8 4
44 1 2 5
45 6 3 4
46 4 1 10
47 9 3 9
48 6 2 3
49 1 6 10
50 10 7 2
51 9 10 3
52 2 2 2
53 9 7 10
54 2 4 1
55 2 7 5
56 1 6 10
57 6 6 4
58 4 2 8
59 8 10 2
60 4 3 7
61 10 7 7
62 8 8 6
63 5 4 2
64 9 9 3
65 5 8 3
66 10 8 3
67 2 8 5
68 7 2 5
69 8 5 3
70 10 1 10
71 10 8 7
72 4 3 1
73 8 6 5
74 6 8 4
75 10 9 4
76 7 6 7
77 9 3 3
78 1 2 3
79 3 3 8
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
