60
30 30 30
0 10 5 4
1 6 9 1
2 5 10 6
3 8 5 8
4 6 4 2
5 6 6 1
6 2 8 5
7 2 6 9
8 5 10 9
9 1 10 1
10 10 5 8
11 7 2 10
12 1 6 2
13 2 6 10
14 7 4 4
15 4 7 8
16 9 10 3
17 9 3 8
18 2 9 6
19 9 9 4
20 3 2 8
21 7 5 7
22 6 9 10
23 3 7 6
24 10 1 1
25 8 9 7
26 1 3 2
27 1 7 3
28 4 5 4
29 6 8 4
30 4 4 7
31 7 5 9
32 3 3 9
33 1 6 8
34 1 9 3
35 1 2 6
36 6 2 3
37 4 5 2
38 8 10 10
39 7 8 5
40 1 7 10
41 6 10 3
42 7 3 10
43 10 4 4
44 10 9 1
45 2 5 2
46 2 6 4
47 3 2 7
48 6 10 7
49 3 4 8
50 1 6 1
51 10 1 3
52 1 6 1
53 1 10 2
54 8 5 8
55 8 1 8
56 2 9 3
57 3 9 4
58 10 4 10
59 5 4 4
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
