60
30 30 30
0 3 6 4
1 5 3 5
2 9 9 10
3 4 7 7
4 8 7 10
5 1 7 7
6 6 7 4
7 1 7 7
8 4 3 5
9 8 4 3
10 5 5 6
11 3 10 10
12 3 8 4
13 10 6 6
14 5 8 3
15 5 6 8
16 9 2 1
17 4 5 10
18 1 6 6
19 1 6 8
20 8 4 3
21 8 6 6
22 5 7 9
23 8 7 2
24 4 7 4
25 1 3 3
26 10 6 3
27 4 2 9
28 4 1 8
29 9 8 6
30 8 1 1
31 1 4 1
32 10 9 4
33 6 6 4
34 3 9 2
35 3 4 6
36 9 3 10
37 8 9 3
38 1 4 4
39 1 3 3
40 4 2 10
41 4 6 10
42 8 8 9
43 2 2 3
44 10 3 2
45 6 8 6
46 8 4 8
47 10 2 8
48 5 7 6
49 3 6 6
50 9 4 7
51 8 9 3
52 6 10 10
53 7 1 1
54 6 4 3
55 4 5 6
56 7 8 3
57 8 7 2
58 4 8 9
59 3 2 10
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
