80
100 100 100
0 19 28 28
1 16 10 11
2 11 15 13
3 3 31 8
4 4 11 8
5 23 11 4
6 13 6 26
7 18 32 15
8 2 11 3
9 30 1 20
10 7 26 1
11 14 17 15
12 9 4 33
13 25 26 21
14 18 10 3
15 17 19 33
16 24 8 22
17 27 15 30
18 4 13 29
19 32 9 9
20 18 31 29
21 10 18 14
22 11 26 31
23 30 3 35
24 26 8 32
25 24 17 24
26 17 24 6
27 6 34 33
28 31 29 18
29 17 15 15
30 5 9 33
31 23 1 20
32 7 15 12
33 12 2 11
34 6 21 26
35 18 17 26
36 12 17 9
37 2 16 9
38 7 17 12
39 2 10 23
40 30 12 25
41 12 12 8
42 21 27 11
43 26 10 13
44 10 13 24
45 2 19 14
46 3 31 2
47 9 10 8
48 16 23 10
49 11 24 23
50 34 16 28
51 24 23 16
52 27 28 27
53 31 21 35
54 28 35 14
55 11 22 20
56 9 6 11
57 17 1 8
58 13 32 5
59 23 15 21
60 6 8 30
61 31 26 9
62 4 31 29
63 23 8 7
64 4 26 24
65 20 34 14
66 29 1 22
67 20 12 30
68 10 1 16
69 4 13 4
70 31 7 1
71 4 25 27
72 12 7 11
73 10 23 15
74 33 17 32
75 30 35 28
76 3 11 5
77 7 35 27
78 4 1 25
79 6 33 1
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
