80
100 100 100
0 11 18 22
1 4 10 14
2 28 25 28
3 4 34 18
4 16 1 16
5 3 21 19
6 30 28 2
7 32 7 33
8 34 16 34
9 28 16 29
10 29 29 33
11 32 24 2
12 14 23 15
13 32 16 28
14 24 29 17
15 31 34 30
16 13 11 12
17 29 32 3
18 20 33 27
19 6 5 34
20 16 19 3
21 28 24 2
22 25 24 33
23 15 24 31
24 25 13 30
25 9 17 6
26 17 1 29
27 20 29 21
28 7 4 1
29 25 2 32
30 6 30 6
31 18 22 23
32 2 5 17
33 18 24 8
34 5 23 9
35 19 11 23
36 7 12 12
37 12 29 13
38 11 12 28
39 12 20 35
40 20 22 26
41 28 28 35
42 32 24 5
43 29 28 6
44 7 26 2
45 28 5 20
46 5 34 5
47 18 33 18
48 10 8 33
49 35 23 16
50 31 14 13
51 2 9 2
52 7 12 20
53 22 9 35
54 11 29 1
55 9 21 7
56 34 20 30
57 35 1 23
58 23 13 13
59 30 4 15
60 19 12 15
61 34 19 17
62 32 7 6
63 14 16 11
64 3 25 14
65 20 26 29
66 4 28 24
67 11 11 35
68 21 9 6
69 3 16 29
70 1 20 9
71 21 10 1
72 18 35 8
73 1 13 28
74 27 33 15
75 10 2 5
76 14 35 17
77 17 29 16
78 11 9 29
79 14 20 22
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
