40
100 100 100
0 29 5 32
1 30 5 34
2 32 8 23
3 11 4 20
4 10 7 20
5 35 34 35
6 34 34 6
7 26 34 35
8 34 4 17
9 28 29 11
10 5 1 15
11 4 33 23
12 28 31 34
13 18 23 28
14 2 13 30
15 8 33 24
16 24 14 27
17 26 27 17
18 14 15 23
19 7 6 11
20 25 28 2
21 12 10 31
22 2 6 4
23 35 29 29
24 25 5 12
25 27 34 18
26 2 24 16
27 5 14 8
28 27 2 28
29 2 7 15
30 18 17 16
31 18 23 28
32 25 33 27
33 29 10 25
34 24 1 23
35 25 6 23
36 5 16 18
37 28 34 21
38 12 31 21
39 29 8 1
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
