60
100 100 100
0 77 60 59
1 56 93 10
2 59 93 2
3 40 13 4
4 87 59 49
5 42 85 13
6 21 61 56
7 6 63 85
8 4 46 62
9 49 37 7
10 5 23 49
11 65 20 98
12 13 95 21
13 74 15 43
14 19 69 5
15 69 64 24
16 29 100 54
17 44 70 75
18 50 34 54
19 37 45 99
20 13 73 50
21 84 86 40
22 88 86 28
23 18 21 95
24 57 36 65
25 39 42 40
26 21 72 95
27 84 9 96
28 11 7 15
29 67 17 18
30 63 38 58
31 17 6 12
32 94 16 73
33 40 74 40
34 7 3 87
35 46 94 10
36 99 92 86
37 47 79 75
38 52 73 18
39 74 40 66
40 14 22 4
41 6 94 6
42 31 43 30
43 82 34 32
44 47 89 65
45 41 3 21
46 85 3 56
47 7 86 68
48 35 9 45
49 33 6 37
50 18 80 67
51 18 34 10
52 90 6 12
53 29 99 72
54 54 50 71
55 91 100 41
56 29 7 42
57 38 47 85
58 77 37 82
59 15 11 43
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
