40
100 100 100
0 11 6 3
1 5 8 13
2 3 22 34
3 21 1 32
4 5 21 1
5 27 8 31
6 1 34 23
7 28 19 11
8 9 27 7
9 28 4 19
10 13 8 1
11 27 22 26
12 17 28 11
13 6 27 14
14 30 2 10
15 4 18 9
16 16 12 12
17 26 30 20
18 35 12 22
19 1 7 19
20 5 18 21
21 19 12 4
22 10 22 20
23 13 7 24
24 24 7 2
25 23 2 33
26 11 2 3
27 10 32 25
28 30 26 14
29 34 6 16
30 16 18 15
31 24 26 35
32 15 24 34
33 14 32 17
34 34 34 13
35 12 11 10
36 32 29 8
37 13 5 32
38 19 28 32
39 3 15 24
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
