80
100 100 100
0 53 30 40
1 28 48 48
2 100 36 61
3 23 95 68
4 50 84 44
5 24 78 46
6 75 15 45
7 67 6 64
8 9 40 80
9 22 66 62
10 4 52 56
11 23 72 31
12 12 49 22
13 63 82 71
14 14 88 89
15 5 93 29
16 2 67 38
17 4 17 63
18 55 26 11
19 4 4 64
20 94 9 98
21 7 37 83
22 65 66 7
23 52 21 79
24 4 34 47
25 64 16 10
26 100 72 43
27 4 96 6
28 73 35 59
29 85 55 87
30 71 97 1
31 30 79 96
32 93 12 1
33 29 83 60
34 77 82 100
35 60 23 11
36 92 72 65
37 17 11 68
38 27 58 77
39 63 81 97
40 11 48 47
41 67 22 29
42 93 83 33
43 90 86 68
44 26 37 88
45 22 19 79
46 76 97 4
47 87 65 27
48 57 99 38
49 99 22 58
50 80 23 15
51 46 49 36
52 2 96 19
53 99 49 49
54 84 57 15
55 85 74 46
56 70 36 4
57 7 49 24
58 98 86 12
59 65 75 20
60 64 10 60
61 60 50 79
62 57 77 43
63 60 8 74
64 30 42 57
65 70 64 19
66 94 8 98
67 86 10 76
68 67 78 61
69 7 48 9
70 36 88 48
71 93 68 74
72 96 3 9
73 72 80 49
74 60 41 92
75 85 11 42
76 30 62 6
77 72 51 3
78 77 68 29
79 26 23 18
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
