60
100 100 100
0 60 24 44
1 48 74 10
2 27 23 10
3 62 46 95
4 65 52 14
5 8 46 72
6 66 38 83
7 13 31 70
8 41 41 89
9 27 71 13
10 25 93 76
11 97 30 47
12 28 52 1
13 45 38 3
14 44 12 31
15 13 30 74
16 25 99 94
17 100 87 78
18 40 62 48
19 95 57 95
20 49 5 27
21 33 99 18
22 19 65 87
23 94 4 69
24 34 19 75
25 63 65 2
26 17 84 96
27 21 55 69
28 26 56 58
29 92 92 16
30 90 95 49
31 93 45 92
32 32 39 6
33 81 76 22
34 14 95 36
35 17 40 38
36 89 25 3
37 96 85 39
38 29 32 26
39 92 49 2
40 73 4 21
41 9 22 92
42 98 35 60
43 23 31 65
44 97 37 90
45 3 20 76
46 1 17 72
47 19 87 14
48 12 87 4
49 28 60 11
50 61 73 52
51 80 1 73
52 69 81 95
53 43 88 52
54 12 10 36
55 40 25 73
56 57 77 62
57 26 31 72
58 80 51 80
59 45 79 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
