60
100 100 100
0 15 30 59
1 83 8 37
2 83 22 73
3 64 93 32
4 50 42 66
5 74 90 86
6 54 8 29
7 2 98 68
8 4 94 33
9 37 98 92
10 37 62 31
11 47 13 55
12 92 18 14
13 97 34 87
14 90 9 50
15 77 62 94
16 59 10 70
17 60 3 41
18 53 100 4
19 58 83 31
20 34 19 85
21 18 25 23
22 59 75 94
23 31 5 82
24 6 78 3
25 70 69 86
26 60 77 12
27 16 80 91
28 62 5 8
29 67 7 30
30 14 70 79
31 57 10 10
32 24 83 25
33 27 11 23
34 86 31 70
35 31 74 7
36 66 41 52
37 38 33 94
38 67 58 12
39 24 15 50
40 2 27 97
41 17 98 23
42 13 86 47
43 84 66 12
44 30 46 76
45 48 56 81
46 43 23 27
47 31 76 39
48 90 24 73
49 22 41 36
50 94 23 26
51 68 54 81
52 96 50 27
53 2 26 59
54 93 84 7
55 1 30 65
56 60 88 21
57 40 64 23
58 80 11 51
59 39 66 25
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
