40
100 100 100
0 11 48 47
1 67 22 29
2 93 83 33
3 90 86 68
4 26 37 88
5 22 19 79
6 76 97 4
7 87 65 27
8 57 99 38
9 99 22 58
10 80 23 15
11 46 49 36
12 2 96 19
13 99 49 49
14 84 57 15
15 85 74 46
16 70 36 4
17 7 49 24
18 98 86 12
19 65 75 20
20 64 10 60
21 60 50 79
22 57 77 43
23 60 8 74
24 30 42 57
25 70 64 19
26 94 8 98
27 86 10 76
28 67 78 61
29 7 48 9
30 36 88 48
31 93 68 74
32 96 3 9
33 72 80 49
34 60 41 92
35 85 11 42
36 30 62 6
37 72 51 3
38 77 68 29
39 26 23 18
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
