60
30 30 30
0 10 5 3
1 2 10 3
2 7 8 3
3 10 6 5
4 8 6 3
5 5 2 2
6 6 10 3
7 7 4 7
8 10 5 4
9 2 10 1
10 5 10 1
11 6 4 4
12 2 2 10
13 10 5 1
14 6 9 3
15 3 9 4
16 2 10 9
17 1 5 10
18 10 3 6
19 4 9 9
20 4 5 5
21 6 6 9
22 10 4 2
23 6 1 10
24 5 2 6
25 4 10 7
26 3 1 6
27 3 8 3
28 4 7 1
29 4 5 8
30 1 7 7
31 5 2 4
32 2 10 6
33 2 7 7
34 4 2 7
35 9 9 3
36 8 6 4
37 2 6 7
38 3 3 8
39 10 4 9
40 1 5 4
41 6 4 7
42 1 4 2
43 8 9 9
44 7 1 9
45 8 3 8
46 9 4 3
47 6 10 6
48 5 6 3
49 5 9 8
50 4 8 6
51 10 8 5
52 9 1 4
53 10 1 10
54 3 6 8
55 3 10 4
56 6 7 10
57 3 6 6
58 10 5 8
59 10 2 2
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
