40
100 100 100
0 55 72 30
1 29 75 63
2 19 82 69
3 32 19 39
4 37 35 63
5 82 79 67
6 9 38 93
7 46 78 31
8 49 92 44
9 49 45 76
10 31 11 51
11 40 52 88
12 82 37 80
13 92 65 55
14 38 15 82
15 20 54 95
16 36 100 94
17 25 88 2
18 56 39 63
19 78 59 48
20 21 55 31
21 2 48 91
22 24 20 85
23 89 20 45
24 23 15 18
25 24 23 80
26 44 48 32
27 9 93 65
28 44 64 19
29 59 91 73
30 98 36 44
31 69 12 71
32 26 17 41
33 14 60 45
34 27 5 61
35 80 72 17
36 23 84 12
37 33 30 66
38 32 43 43
39 79 51 12
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
