60
30 30 30
0 10 5 1
1 6 6 1
2 6 4 1
3 10 10 6
4 9 10 5
5 7 8 1
6 2 1 7
7 6 3 2
8 5 2 9
9 9 2 5
10 4 5 5
11 9 4 1
12 8 9 10
13 8 2 5
14 3 4 8
15 4 4 5
16 10 8 10
17 7 7 8
18 9 2 5
19 7 7 10
20 10 3 6
21 3 10 9
22 8 5 5
23 10 7 4
24 9 5 2
25 1 4 1
26 10 9 5
27 9 7 10
28 10 3 10
29 6 7 7
30 2 10 1
31 2 7 9
32 6 8 10
33 8 8 10
34 7 5 6
35 7 3 10
36 10 8 6
37 6 1 6
38 7 3 6
39 10 1 1
40 9 1 4
41 8 3 9
42 2 9 4
43 2 3 3
44 7 5 1
45 7 3 1
46 3 10 9
47 9 5 3
48 8 9 7
49 9 8 6
50 2 5 10
51 4 9 8
52 1 9 5
53 10 4 7
54 7 1 3
55 6 6 7
56 7 10 6
57 4 5 3
58 1 5 6
59 8 5 10
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
