60
100 100 100
0 83 50 68
1 32 21 61
2 32 61 14
3 44 68 47
4 58 86 17
5 90 15 94
6 48 14 91
7 14 56 55
8 4 57 6
9 61 81 44
10 46 48 39
11 56 79 84
12 37 97 54
13 78 72 20
14 88 26 33
15 90 66 31
16 98 96 8
17 64 59 90
18 42 39 31
19 81 27 63
20 76 19 100
21 86 19 35
22 79 19 20
23 17 100 75
24 81 16 43
25 17 73 40
26 50 59 81
27 64 36 7
28 8 37 60
29 40 92 70
30 20 72 44
31 65 75 75
32 4 78 95
33 9 77 44
34 56 65 19
35 32 50 62
36 52 92 100
37 97 86 69
38 97 21 68
39 68 41 66
40 94 68 48
41 33 24 49
42 40 79 71
43 78 56 58
44 76 61 100
45 95 97 45
46 54 20 97
47 94 12 81
48 6 3 31
49 1 59 65
50 54 45 91
51 66 55 94
52 44 13 55
53 12 72 63
54 2 9 81
55 10 15 82
56 48 66 26
57 71 37 90
58 67 15 17
59 60 28 83
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
