80
30 30 30
0 10 7 3
1 7 10 9
2 6 2 6
3 10 10 5
4 8 8 4
5 9 1 3
6 1 3 9
7 7 5 2
8 4 8 6
9 7 9 4
10 5 2 7
11 5 1 10
12 4 8 2
13 5 3 4
14 4 10 3
15 2 3 2
16 7 9 8
17 9 3 10
18 9 9 8
19 10 6 4
20 10 6 6
21 7 3 7
22 9 6 9
23 10 4 8
24 4 10 9
25 6 5 6
26 1 5 8
27 9 5 3
28 3 7 4
29 7 4 7
30 8 6 1
31 4 8 3
32 9 4 3
33 8 7 3
34 3 10 7
35 10 1 4
36 10 2 7
37 8 4 7
38 1 6 9
39 7 7 1
40 9 9 6
41 2 1 7
42 10 8 5
43 6 8 8
44 2 3 9
45 2 10 3
46 8 7 8
47 2 5 1
48 8 3 6
49 3 6 7
50 4 9 8
51 4 2 6
52 1 7 6
53 6 6 7
54 6 8 7
55 1 10 8
56 10 5 10
57 9 7 3
58 10 3 2
59 2 4 1
60 1 7 6
61 2 8 8
62 2 6 5
63 5 1 2
64 4 8 8
65 6 6 2
66 8 5 7
67 5 9 3
68 1 10 2
69 6 5 3
70 8 1 9
71 5 1 1
72 2 2 5
73 7 8 4
74 6 9 8
75 9 2 3
76 7 3 7
77 6 1 6
78 8 1 10
79 7 2 6
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
