40
100 100 100
0 25 28 20
1 18 14 31
2 3 14 28
3 10 12 9
4 22 1 26
5 14 4 8
6 5 28 20
7 22 17 28
8 32 18 28
9 14 26 30
10 2 5 3
11 9 4 18
12 28 5 34
13 35 24 26
14 5 8 26
15 24 4 16
16 5 24 23
17 32 12 30
18 23 8 27
19 34 21 31
20 26 25 9
21 34 26 15
22 34 30 31
23 4 4 24
24 13 4 13
25 25 24 8
26 21 28 28
27 3 13 15
28 8 8 4
29 3 28 19
30 8 35 14
31 6 20 33
32 9 11 23
33 21 17 30
34 6 14 28
35 1 4 1
36 11 7 9
37 14 19 7
38 4 30 15
39 28 4 3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
