40
100 100 100
0 78 33 92
1 34 79 99
2 30 36 16
3 86 85 86
4 79 3 28
5 89 23 22
6 33 84 83
7 63 83 17
8 58 61 58
9 58 29 71
10 70 90 80
11 5 45 83
12 45 60 47
13 47 28 74
14 68 79 91
15 61 91 98
16 75 21 27
17 60 69 4
18 14 41 13
19 13 20 24
20 15 30 59
21 83 8 37
22 83 22 73
23 64 93 32
24 50 42 66
25 74 90 86
26 54 8 29
27 2 98 68
28 4 94 33
29 37 98 92
30 37 62 31
31 47 13 55
32 92 18 14
33 97 34 87
34 90 9 50
35 77 62 94
36 59 10 70
37 60 3 41
38 53 100 4
39 58 83 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
