60
100 100 100
0 62 23 69
1 75 24 21
2 21 93 4
3 32 67 57
4 51 99 49
5 58 87 30
6 97 83 76
7 67 25 7
8 68 14 76
9 66 59 2
10 83 85 93
11 45 64 81
12 2 55 19
13 70 3 24
14 94 31 49
15 13 80 99
16 46 42 50
17 16 43 49
18 90 56 88
19 43 64 8
20 30 31 30
21 16 25 9
22 71 58 78
23 67 83 91
24 81 59 26
25 81 81 58
26 63 4 24
27 38 39 13
28 46 51 51
29 62 55 62
30 35 3 30
31 24 71 98
32 94 58 60
33 96 60 2
34 74 97 38
35 45 46 99
36 51 97 93
37 29 46 22
38 64 74 46
39 33 56 77
40 5 81 81
41 85 68 97
42 21 63 2
43 91 77 98
44 57 3 66
45 98 64 82
46 74 15 89
47 49 67 45
48 13 84 72
49 53 45 99
50 65 8 65
51 10 68 19
52 6 6 23
53 22 17 55
54 93 36 52
55 98 68 37
56 67 98 9
57 41 23 77
58 29 2 92
59 13 23 54
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
