60
100 100 100
0 64 10 60
1 60 50 79
2 57 77 43
3 60 8 74
4 30 42 57
5 70 64 19
6 94 8 98
7 86 10 76
8 67 78 61
9 7 48 9
10 36 88 48
11 93 68 74
12 96 3 9
13 72 80 49
14 60 41 92
15 85 11 42
16 30 62 6
17 72 51 3
18 77 68 29
19 26 23 18
20 34 15 46
21 60 74 80
22 51 12 39
23 76 91 11
24 97 1 63
25 64 14 67
26 62 91 39
27 15 100 81
28 29 49 71
29 22 54 58
30 20 63 69
31 85 6 90
32 19 98 5
33 45 89 59
34 84 45 12
35 56 42 21
36 13 19 58
37 55 95 86
38 26 65 99
39 74 35 51
40 21 27 67
41 67 98 10
42 63 28 7
43 59 38 94
44 17 37 24
45 18 6 15
46 91 4 80
47 61 38 20
48 84 13 76
49 48 63 5
50 40 36 36
51 71 9 43
52 35 14 55
53 56 47 87
54 65 10 52
55 60 82 24
56 10 11 47
57 56 59 39
58 19 6 62
59 34 6 73
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
