40
100 100 100
0 28 17 15
1 25 4 3
2 10 3 6
3 19 10 10
4 16 17 19
5 5 17 4
6 31 5 19
7 34 34 27
8 23 10 34
9 26 9 15
10 24 17 11
11 2 24 22
12 25 18 3
13 32 9 33
14 8 33 24
15 11 30 28
16 13 8 28
17 16 24 18
18 1 9 22
19 25 14 35
20 33 23 1
21 10 17 17
22 15 1 17
23 16 27 34
24 12 11 28
25 8 17 9
26 2 29 7
27 18 26 15
28 17 8 6
29 19 12 26
30 22 10 7
31 20 26 27
32 9 12 33
33 29 10 30
34 27 1 7
35 31 11 21
36 4 4 21
37 33 24 32
38 20 35 15
39 32 23 34
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
