40
100 100 100
0 6 96 69
1 54 5 88
2 8 94 53
3 67 10 29
4 82 7 82
5 24 73 71
6 15 20 66
7 43 52 94
8 98 15 65
9 65 81 48
10 46 44 44
11 25 83 51
12 9 91 14
13 8 18 72
14 40 62 84
15 19 81 40
16 7 28 40
17 86 53 91
18 42 62 66
19 19 63 52
20 30 83 44
21 36 2 82
22 99 30 17
23 18 11 50
24 38 20 20
25 87 49 21
26 34 62 96
27 88 93 40
28 6 95 74
29 17 27 98
30 43 57 55
31 60 95 14
32 42 57 99
33 56 31 32
34 71 13 67
35 74 54 25
36 70 83 67
37 19 18 32
38 13 89 100
39 68 18 74
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
