40
100 100 100
0 35 59 47
1 6 37 100
2 68 58 57
3 67 66 46
4 50 49 40
5 100 48 69
6 7 47 42
7 70 97 89
8 79 97 73
9 70 77 13
10 76 55 85
11 5 78 61
12 98 34 12
13 38 40 17
14 50 60 26
15 28 4 24
16 98 39 73
17 47 15 36
18 15 48 71
19 23 39 96
20 8 43 42
21 42 15 30
22 80 44 94
23 94 1 60
24 66 95 68
25 30 26 60
26 85 42 30
27 81 3 74
28 10 42 80
29 19 72 19
30 79 63 63
31 73 83 71
32 4 80 41
33 55 25 9
34 49 49 89
35 43 29 51
36 60 35 3
37 75 16 38
38 84 43 20
39 96 83 80
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
