60
30 30 30
0 4 5 7
1 2 3 4
2 8 7 8
3 2 10 5
4 5 1 5
5 1 6 6
6 9 8 1
7 10 2 10
8 10 5 10
9 8 5 9
10 9 9 10
11 10 7 1
12 4 7 5
13 10 5 8
14 7 9 5
15 9 10 9
16 4 3 4
17 9 9 1
18 6 10 8
19 2 2 10
20 5 6 1
21 8 7 1
22 8 7 10
23 5 7 9
24 7 4 9
25 3 5 2
26 5 1 9
27 6 9 6
28 2 1 1
29 7 1 10
30 2 9 2
31 5 7 7
32 1 2 5
33 6 7 3
34 2 7 3
35 6 3 7
36 2 4 4
37 4 9 4
38 3 4 8
39 4 6 10
40 6 7 8
41 8 8 10
42 10 7 2
43 9 8 2
44 2 8 1
45 8 2 6
46 2 10 2
47 5 10 6
48 3 3 10
49 10 7 5
50 9 4 4
51 1 3 1
52 2 4 6
53 7 3 10
54 4 9 1
55 3 6 2
56 10 6 9
57 10 1 7
58 7 4 4
59 9 2 5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
