40
100 100 100
0 11 18 22
1 4 10 14
2 28 25 28
3 4 34 18
4 16 1 16
5 3 21 19
6 30 28 2
7 32 7 33
8 34 16 34
9 28 16 29
10 29 29 33
11 32 24 2
12 14 23 15
13 32 16 28
14 24 29 17
15 31 34 30
16 13 11 12
17 29 32 3
18 20 33 27
19 6 5 34
20 16 19 3
21 28 24 2
22 25 24 33
23 15 24 31
24 25 13 30
25 9 17 6
26 17 1 29
27 20 29 21
28 7 4 1
29 25 2 32
30 6 30 6
31 18 22 23
32 2 5 17
33 18 24 8
34 5 23 9
35 19 11 23
36 7 12 12
37 12 29 13
38 11 12 28
39 12 20 35
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
