40
100 100 100
0 5 27 13
1 13 24 12
2 14 1 31
3 34 11 6
4 5 35 24
5 28 8 31
6 31 23 27
7 5 15 28
8 1 2 6
9 21 10 29
10 31 32 22
11 18 12 14
12 10 19 16
13 15 32 18
14 33 30 18
15 32 22 21
16 26 4 1
17 22 21 6
18 2 2 15
19 33 17 31
20 1 35 3
21 5 33 6
22 19 22 13
23 25 13 12
24 6 18 6
25 7 13 26
26 12 2 28
27 8 18 4
28 17 10 5
29 10 32 12
30 24 3 30
31 5 23 3
32 35 5 35
33 19 9 5
34 22 29 26
35 17 18 31
36 30 33 7
37 19 5 3
38 1 1 6
39 34 19 10
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
