60
100 100 100
0 27 5 34
1 22 33 29
2 8 15 18
3 28 28 4
4 19 33 22
5 5 20 21
6 26 31 3
7 35 18 1
8 9 1 12
9 16 20 15
10 27 9 15
11 20 18 11
12 5 29 8
13 26 11 6
14 16 21 9
15 27 10 32
16 32 4 21
17 4 33 19
18 22 30 9
19 30 4 34
20 20 17 16
21 26 25 16
22 27 22 14
23 7 20 9
24 8 12 34
25 14 18 27
26 10 11 9
27 5 34 26
28 25 14 25
29 8 23 9
30 28 5 21
31 34 18 7
32 31 30 14
33 10 9 20
34 10 7 32
35 16 25 25
36 30 20 14
37 6 23 2
38 2 25 33
39 10 17 23
40 19 15 27
41 25 12 5
42 22 21 12
43 27 11 15
44 23 24 16
45 19 4 26
46 9 8 35
47 35 25 12
48 24 3 12
49 11 1 25
50 20 7 2
51 35 10 26
52 7 31 16
53 28 27 26
54 22 27 12
55 11 11 35
56 3 3 7
57 23 26 7
58 4 3 33
59 21 16 5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
