40
100 100 100
0 61 10 72
1 96 41 12
2 86 2 93
3 97 76 85
4 29 81 80
5 69 15 36
6 51 25 62
7 37 71 80
8 39 60 73
9 30 89 85
10 6 80 14
11 48 87 57
12 43 68 42
13 1 96 57
14 76 67 99
15 86 24 89
16 10 27 39
17 1 51 17
18 58 10 98
19 1 50 63
20 41 53 100
21 33 27 70
22 67 6 97
23 24 68 25
24 30 51 54
25 71 1 5
26 89 3 41
27 57 31 49
28 96 48 47
29 90 29 40
30 9 16 59
31 10 16 80
32 8 71 59
33 31 29 97
34 37 45 73
35 61 86 36
36 35 1 97
37 7 96 60
38 21 61 77
39 54 62 43
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
