40
100 100 100
0 16 13 23
1 33 6 34
2 19 26 23
3 7 1 23
4 17 33 32
5 5 4 20
6 16 33 24
7 2 11 13
8 34 22 25
9 26 8 7
10 20 34 31
11 17 20 28
12 27 9 32
13 5 30 9
14 5 23 7
15 9 6 2
16 2 21 1
17 16 21 24
18 22 20 33
19 9 26 4
20 11 25 18
21 23 10 17
22 26 24 5
23 26 27 22
24 29 4 27
25 19 12 23
26 21 11 17
27 3 4 24
28 30 4 25
29 11 10 19
30 34 14 7
31 34 11 8
32 15 29 9
33 14 7 9
34 25 11 7
35 15 19 18
36 11 8 17
37 22 33 30
38 8 7 1
39 14 32 5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
